Key,en,es,fr
narration_tutorial_text_1,Welcome to the game tutorial!,¡Bienvenido al tutorial del juego!,Bienvenue dans le tutoriel du jeu!
narration_tutorial_text_2,Follow the instructions carefully.,Sigue las instrucciones cuidadosamente.,Suivez attentivement les instructions.
narration_tutorial_text_3,You can skip this tutorial at any time.,Puedes omitir este tutorial en cualquier momento.,Vous pouvez passer ce tutoriel à tout moment.
narration_intro_text_1,"The year is 2024, and the world has changed...","Es el año 2024, y el mundo ha cambiado...","Nous sommes en 2024, et le monde a changé..."
narration_intro_text_2,Your journey begins here.,Tu viaje comienza aquí.,Votre voyage commence ici.
narration_ending_text_1,Congratulations on completing the game!,¡Felicidades por completar el juego!,Félicitations pour avoir terminé le jeu!
narration_ending_text_2,Thank you for playing!,¡Gracias por jugar!,Merci d'avoir joué!







